case,Last_Event,First_Event,Case_Duration,Variants,Case_Duration in minutes
596,End,Register,1499.0,1,24.98
597,End,Register,1238.0,1,20.63
598,End,Register,1250.0,1,20.83
599,End,Register,1408.0,1,23.47
600,End,Register,1195.0,1,19.92
602,End,Register,1137.0,1,18.95
603,End,Register,1326.0,1,22.1
604,End,Register,1212.0,1,20.2
605,End,Register,1053.0,1,17.55
607,End,Register,1037.0,1,17.28
609,End,Register,1397.0,1,23.28
614,End,Register,1215.0,1,20.25
618,End,Register,1176.0,1,19.6
619,End,Register,1106.0,1,18.43
621,End,Register,1156.0,1,19.27
622,End,Register,1271.0,1,21.18
623,End,Register,1217.0,1,20.28
624,End,Register,1176.0,1,19.6
625,End,Register,1284.0,1,21.4
626,End,Register,1315.0,1,21.92
628,End,Register,1247.0,1,20.78
631,End,Register,1081.0,1,18.02
632,End,Register,1299.0,1,21.65
633,End,Register,1158.0,1,19.3
638,End,Register,1198.0,1,19.97
639,End,Register,1246.0,1,20.77
645,End,Register,1276.0,1,21.27
647,End,Register,1185.0,1,19.75
648,End,Register,1251.0,1,20.85
649,End,Register,1258.0,1,20.97
652,End,Register,1346.0,1,22.43
654,End,Register,1279.0,1,21.32
655,End,Register,1223.0,1,20.38
657,End,Register,1240.0,1,20.67
662,End,Register,959.0,1,15.98
665,End,Register,1111.0,1,18.52
667,End,Register,1498.0,1,24.97
668,End,Register,1143.0,1,19.05
671,End,Register,1261.0,1,21.02
672,End,Register,1051.0,1,17.52
673,End,Register,1660.0,1,27.67
674,End,Register,1089.0,1,18.15
675,End,Register,1103.0,1,18.38
676,End,Register,1338.0,1,22.3
679,End,Register,1478.0,1,24.63
685,End,Register,1085.0,1,18.08
686,End,Register,1486.0,1,24.77
688,End,Register,1337.0,1,22.28
689,End,Register,1216.0,1,20.27
692,End,Register,1162.0,1,19.37
694,End,Register,1368.0,1,22.8
695,End,Register,1323.0,1,22.05
700,End,Register,1095.0,1,18.25
701,End,Register,1335.0,1,22.25
702,End,Register,1381.0,1,23.02
703,End,Register,1365.0,1,22.75
704,End,Register,1110.0,1,18.5
705,End,Register,1156.0,1,19.27
710,End,Register,1219.0,1,20.32
711,End,Register,1270.0,1,21.17
715,End,Register,1190.0,1,19.83
717,End,Register,1172.0,1,19.53
718,End,Register,1297.0,1,21.62
721,End,Register,1281.0,1,21.35
722,End,Register,1192.0,1,19.87
726,End,Register,1322.0,1,22.03
728,End,Register,1121.0,1,18.68
730,End,Register,1342.0,1,22.37
732,End,Register,1228.0,1,20.47
733,End,Register,1335.0,1,22.25
734,End,Register,1326.0,1,22.1
735,End,Register,1507.0,1,25.12
736,End,Register,1129.0,1,18.82
737,End,Register,1184.0,1,19.73
739,End,Register,1198.0,1,19.97
741,End,Register,1342.0,1,22.37
744,End,Register,1173.0,1,19.55
746,End,Register,1432.0,1,23.87
753,End,Register,1351.0,1,22.52
754,End,Register,1406.0,1,23.43
755,End,Register,1170.0,1,19.5
757,End,Register,1094.0,1,18.23
758,End,Register,1382.0,1,23.03
759,End,Register,1152.0,1,19.2
761,End,Register,1344.0,1,22.4
762,End,Register,1356.0,1,22.6
763,End,Register,1352.0,1,22.53
764,End,Register,1304.0,1,21.73
766,End,Register,1180.0,1,19.67
767,End,Register,1333.0,1,22.22
768,End,Register,992.0,1,16.53
770,End,Register,1211.0,1,20.18
775,End,Register,1277.0,1,21.28
779,End,Register,1269.0,1,21.15
780,End,Register,1267.0,1,21.12
782,End,Register,1318.0,1,21.97
786,End,Register,1253.0,1,20.88
790,End,Register,1385.0,1,23.08
794,End,Register,1098.0,1,18.3
795,End,Register,1421.0,1,23.68
796,End,Register,1167.0,1,19.45
797,End,Register,1261.0,1,21.02
798,End,Register,1503.0,1,25.05
800,End,Register,1233.0,1,20.55
801,End,Register,1326.0,1,22.1
802,End,Register,1247.0,1,20.78
803,End,Register,1272.0,1,21.2
805,End,Register,1368.0,1,22.8
806,End,Register,1406.0,1,23.43
809,End,Register,1337.0,1,22.28
810,End,Register,1180.0,1,19.67
812,End,Register,1303.0,1,21.72
814,End,Register,1181.0,1,19.68
816,End,Register,55524.0,1,925.4
817,End,Register,1130.0,1,18.83
820,End,Register,55288.0,1,921.47
822,End,Register,55643.0,1,927.38
823,End,Register,55426.0,1,923.77
824,End,Register,55451.0,1,924.18
827,End,Register,55546.0,1,925.77
830,End,Register,55148.0,1,919.13
831,End,Register,55643.0,1,927.38
832,End,Register,55231.0,1,920.52
836,End,Register,1159.0,1,19.32
837,End,Register,1265.0,1,21.08
840,End,Register,1302.0,1,21.7
841,End,Register,1244.0,1,20.73
845,End,Register,1234.0,1,20.57
848,End,Register,1251.0,1,20.85
854,End,Register,1412.0,1,23.53
855,End,Register,1216.0,1,20.27
857,End,Register,1293.0,1,21.55
858,End,Register,1330.0,1,22.17
859,End,Register,1180.0,1,19.67
860,End,Register,1160.0,1,19.33
861,End,Register,1163.0,1,19.38
864,End,Register,1115.0,1,18.58
866,End,Register,1312.0,1,21.87
867,End,Register,1422.0,1,23.7
868,End,Register,1171.0,1,19.52
870,End,Register,995.0,1,16.58
872,End,Register,1323.0,1,22.05
873,End,Register,1322.0,1,22.03
876,End,Register,1258.0,1,20.97
877,End,Register,1038.0,1,17.3
878,End,Register,1196.0,1,19.93
880,End,Register,1350.0,1,22.5
882,End,Register,1471.0,1,24.52
884,End,Register,1354.0,1,22.57
888,End,Register,1225.0,1,20.42
889,End,Register,1259.0,1,20.98
894,End,Register,1373.0,1,22.88
895,End,Register,1282.0,1,21.37
896,End,Register,1218.0,1,20.3
897,End,Register,1063.0,1,17.72
898,End,Register,1293.0,1,21.55
901,End,Register,1311.0,1,21.85
902,End,Register,1284.0,1,21.4
908,End,Register,1418.0,1,23.63
909,End,Register,1275.0,1,21.25
910,End,Register,1235.0,1,20.58
912,End,Register,1228.0,1,20.47
913,End,Register,1156.0,1,19.27
914,End,Register,1198.0,1,19.97
915,End,Register,1131.0,1,18.85
916,End,Register,1250.0,1,20.83
918,End,Register,1172.0,1,19.53
919,End,Register,1127.0,1,18.78
922,End,Register,1206.0,1,20.1
925,End,Register,1240.0,1,20.67
927,End,Register,1094.0,1,18.23
930,End,Register,1123.0,1,18.72
931,End,Register,1308.0,1,21.8
932,End,Register,1248.0,1,20.8
934,End,Register,1228.0,1,20.47
936,End,Register,1099.0,1,18.32
938,End,Register,1281.0,1,21.35
940,End,Register,1368.0,1,22.8
